Title,Date of Reviews,Reviews,Star Rating
Tia Ta,1-Nov-23,"Aplikasi semakin lemot, jaringan bagus dengan kecepatan 1.0mb tapi tetap lemot, setiap buka apk gambar produk tidak ada.. padahal udah nunggu lama.. kadang ngak bisa check out.. saat check out katanya gratis ongkir tetapi malah ada ongkir bahkan ada biaya penanganan. Katanya cod seluruh Indonesia.. tapi saat pengen check out produk malah bilang ngak bisa di antar di tempat dan hanya bisa di ambil ditempat tertentu..",Diberi rating 1 bintang dari 5 bintang
Bedjo BaeLah,26-Nov-23,"Pencarian produk berdasarkan yang terlaris error, semua kategori muncul tidak spesifik seperti yang saya tulis di pencarian produk. Semua cara sudah saya lakukan, dari relogin, clear cache, refresh ip jaringan, bahkan sampai hapus data aplikasi Shopee dari setelan sistem. Pencarian berdasarkan terkait yang saya cari ada semua, tapi saat di ganti menjadi terlaris malah acak, Kategori yang seharusnya tidak tampil malah tampil.",Diberi rating 1 bintang dari 5 bintang
LAKSONO,17-Nov-23,aku nggak tau ya ini aplikasi apaan tapi iklannya sangat sangat sangat mengganggu karena ada dimana mana hampir disemua aplikasi ada iklannya dan parahnya iklanya sangat sensitif jika tersentuh jari sedikit saja akan langsung mengarah ke app market dan memaksa kita mendownload nya.apk sialan ngendorse berapa miliar sih kok bisa iklannya ada dimana mana!!!..,Diberi rating 1 bintang dari 5 bintang
Agung Bachtiar,20-Nov-23,"Jaringan bagus & stabil sampai 25Mbps, hp juga model terbaru. Menurut saya udah Flagship. RAM masih banyak, sama memori internal juga masih 120 GB. Tapi, aplikasinya shopee lemot. Saya, kira cuma saya sendiri ternyata yg lain sama. Saya bandingkan dengan Tokopedia ternyata lebih cepat Tokopedia. Harusnya klo jaringan keduanya lemot, ini cuma Shopee saja yang lemot. Tolong, perbaikannya pihak Shopee.",Diberi rating 1 bintang dari 5 bintang
Pb Mantul,3-Nov-23,"Aplikasi yang buruk, semakin hari semakin jelek, app banyak bug (udah chat tim support & cs gak berguna semua, gak bisa menyelesaikan masalah, cuman bisa jawab formal & jawab terus berulang,sampah!) Angka dan tulisan hilang! Gak ada yang bisa bantu!!! Ber minggu minggu gak ada perbaikan!!! Sampah! app buruk, dulu kalau belanja barang beda 3 toko dalam 1 keranjang total 30 ribu pasti akan dapat gratis ongkir tapi sekarang tidak!!!!!! TIDAK REKOMENDASI UNTUK DI DOWNLOAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Diberi rating 1 bintang dari 5 bintang
Linda Pky,6-Nov-23,"Saya menunggu pesanan saya setengah bulan lebih, tiba² ada notifikasi ""pesanan gagal, dan akan dikembalikan ke penjual"". Kenapa SPX selalu mengecewakan seperti ini? Saya berharap shoppe seperti dulu, dimna ketika mau cek out kita diberi opsi akan memilih ekspedisi yang mana, sehingga saya akan menghindari menggunakan SPX. Jika ingin branding SPX tolong disiapkan dengan matang, dan beri layanan yang baik. Bukan memberi rasa tidak nyaman & trauma diawal² kemunculannya seperti ini.",Diberi rating 1 bintang dari 5 bintang
Always Dihatimu,11 Oktober 2023,"Shopee dari dulu ngga ada perubahan sama sekali katanya suruh update sampe yg terbaru pun nggak ada bedanya tetep berat... padahal wifi stabil, paket data stabil, log out sudah, hapus data juga sudah, tapi hasilnya tetap nihil. Lag.. bikin hp jadi cepat panas. Solusinya katanya harus chat admin namun tetep ga ada solusi yg work. Mohon di oprek lagi apk nya agar lebih enteng dan hemat data baru aku kasih bintang 5...",Diberi rating 1 bintang dari 5 bintang
Tania Dp,16 Oktober 2023,"Dear shopee Pada saat checkout mohon bijak dalam mem-prioritas ekpedisi ,kenapa selalu SPX yg diutamakan, jika ingin ada opsi tolong adakan pemilihan expedisi pada menu pesanan🙏 SPX mengecewakan bahkan sampe orderan ketiga saya pun tidak profesional. Tidak sesuai estimasi,dan tidak sesuai dengan diskripsi. Tulisan nya ""paket akan dikirim ke alamat tujuan"" tapi sudah 2 hari paket belum datang. Mohon diperbaiki, jika ingin branding spx tolong siapkan dengan matang dan pasti. Terimakasih.",Diberi rating 1 bintang dari 5 bintang
M. Zakki Musaddad,27 Oktober 2023,"Saya kasih bintang 1 karena beberapa alasan : 1. aplikasi selalu minta update setiap bulannya. Setiap even tanggal kembar spt 9.9 10.10 11.11 dll. 2. Pemakaian RAM banyak, paling banyak dari aplikasi lain nya hingga ±1GB an. 3. Aplikasi membuat HP cepat panas, padahal baru 15 menit buat nyari² barang. 4. Lemot Parah. Padahal WiFi aman tnp trouble, Paket Data juga ada. 5. Agen SPX terkadang tidak akurat dengan lokasi pengguna. 6. SPX terkadang lemot nya minta ampun, kalau pengiriman paket.",Diberi rating 1 bintang dari 5 bintang
Wibisone,8 Oktober 2023,"Yang paling menjengkelkan dari Shopee itu selalu muncul halaman ""Sedang Downloading, Kami sedang memuat fitur, mohon tunggu sebentar"". Prosesnya satu jam gak ada progess 0% terus. Malam gagal transaksi, nyoba transaksi kembali paginya masih tetep ""Sedang downloading"". Padahal terhubung dg wifi 20mbps lo. Gimana gak emosi coba, disaat butuh segera malah kayak gini. Kebanyakan videonya sih!!!",Diberi rating 1 bintang dari 5 bintang
